,bound,precision,recall,fscore
0,0.5,0.8420910519949106,0.8266,0.8279548513477694
1,0.53,0.8589935243679523,0.8512,0.8522336674301859
2,0.56,0.8810193850745087,0.8786,0.87911471099012
3,0.59,0.8880249530152523,0.8881,0.8880588354980524
4,0.62,0.8804197748635306,0.8802,0.8793661159840187
5,0.65,0.8718834265455242,0.8688,0.8667468001551433
6,0.6799999999999999,0.8609773276654412,0.85275,0.8488397452245278
7,0.71,0.8493727040090624,0.8339,0.8272700836819831
8,0.74,0.8388897618308645,0.8141,0.803710520504171
9,0.77,0.8260101333829851,0.7906,0.774944993169542
10,0.8,0.8146862677968724,0.7669,0.7443201751000517
